Metric,Value
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.00000213529
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,2.61122E-8
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.00000213529
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,2.2600000000000000539024323765145696452094625783502124249935150146484375E-8
ir__drop__worst,0.000002300000000000000001799775606325937360452371649444103240966796875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
